Warnings About Shark Finning-Truth!			https://www.truthorfiction.com/warnings-shark-finning-truth/			2016-08-17T14:53:23+00:00
Ligers Are Biggest Cats in the World-Truth!			https://www.truthorfiction.com/ligers-biggest-cats-world/			2016-08-17T14:31:51+00:00
Great White Shark Caught in Great Lakes-Fiction!			https://www.truthorfiction.com/great-white-shark-captured-great-lakes/			2016-06-22T14:32:35+00:00
Obama Replaces Bald Eagle with Buffalo As Symbol of America-Fiction!			https://www.truthorfiction.com/obama-replaces-bald-eagle-buffalo-symbol-america/			2016-05-05T10:18:37+00:00
Social Media Posts Make Claims About Veal Crates-Fiction!			https://www.truthorfiction.com/social-media-posts-make-claims-veal-crates/			2016-03-31T08:03:52+00:00
BHA in Milk-Bone Dog Treats Causes Cancer-Unproven!			https://www.truthorfiction.com/bha-milk-bone-dog-treats-causes-cancer/			2016-03-25T12:51:41+00:00
Opossums Kill Ticks, Help Stop the Spread of Lyme Disease-Mostly Truth!			https://www.truthorfiction.com/opossums-kill-ticks-help-stop-spread-lyme-disease/			2016-03-23T13:19:51+00:00
Nylabone Dog Treats Are Toxic and Cause Seizures-Reported as Fiction!			https://www.truthorfiction.com/nylabone-dog-treats-toxic-cause-seizures/			2016-03-15T08:24:21+00:00
Video Shows High Diving Giraffes-Fiction!			https://www.truthorfiction.com/video-shows-high-diving-giraffes/			2016-02-17T11:41:37+00:00
Florida Man Emasculated in Attempted Pit Bull Rape-Fiction!			https://www.truthorfiction.com/florida-man-emasculated-in-attempted-pit-bull-rape/			2016-01-15T13:05:10+00:00
52 Free Horses Need a Home-Now Resolved!			https://www.truthorfiction.com/52-free-horses-need-a-home/			2015-12-29T11:30:55+00:00
Photo of a Wolf Pack Explains Wolf Behavior-Fiction!			https://www.truthorfiction.com/photo-of-a-wolf-pack-explains-wolf-behavior/			2015-12-23T13:04:00+00:00
Saudi Arabian Racehorse Executed for Being Homosexual-Fiction!			https://www.truthorfiction.com/saudi-arabian-racehorse-executed-for-being-homosexual/			2015-12-08T10:02:15+00:00
41-lb. Rat Captured in New York City-Fiction!			https://www.truthorfiction.com/41-lb-rat-captured-in-new-york-city/			2015-11-25T09:15:31+00:00
Photo of Asian Beetles Embedded in a Dog’s Mouth-Truth!			https://www.truthorfiction.com/photo-of-asian-beetles-embedded-in-a-dogs-mouth/			2015-11-20T09:42:02+00:00
430-Pound Deer in Hartford, Michigan, Shot by Hunter- Truth! & Fiction!			https://www.truthorfiction.com/430-pound-deer-in-hartford-michigan-shot-by-hunter/			2015-10-30T12:44:50+00:00
Biggest Anaconda Snake in the World Captured in Africa-Fiction!			https://www.truthorfiction.com/biggest-anaconda-snake-in-the-world-captured-in-africa/			2015-09-03T12:49:02+00:00
Famous Poacher Hunter Vows to Avenge Cecil the Lion’s Death-Mostly Fiction!			https://www.truthorfiction.com/famous-poacher-hunter-vows-to-avenge-cecil-the-lions-death/			2015-07-29T14:38:50+00:00
Sylvester Stallone Was Homeless and Sold His Dog to Make Rocky-Mostly Truth!			https://www.truthorfiction.com/sylvester-stallone-was-homeless-and-sold-his-dog-to-make-rocky/			2015-07-23T07:33:56+00:00
Photo Shows a Giant Hawaiian Cane Spider-Fiction!			https://www.truthorfiction.com/photo-shows-a-giant-hawaiian-cane-spider/			2015-07-16T12:04:03+00:00
Dinosaur Egg Hatches at Museum in Berlin-Fiction!			https://www.truthorfiction.com/dinosaur-egg-hatches-at-museum-in-berlin/			2015-07-02T18:40:10+00:00
Warnings About Dogs Burning Their Feet on Hot Pavement-Truth! & Misleading!			https://www.truthorfiction.com/warnings-about-dogs-burning-their-feet-on-hot-pavement/			2015-06-27T09:38:21+00:00
Canine Carry Outs Dog Treats Poison Dogs with Antifreeze-Fiction!			https://www.truthorfiction.com/canine-carry-outs-dog-treats-poison-dogs-with-antifreeze/			2015-04-01T09:17:29+00:00
President’s Dog, Bo, and Handler Flew Alone in a Separate Plane to Maine-Fiction!			https://www.truthorfiction.com/bo-flies-solo/			2015-03-27T21:40:48+00:00
Ligers-a cross between a lion and a tiger-Truth!			https://www.truthorfiction.com/ligers/			2015-03-21T20:42:32+00:00
Strange Sea Creatures Washed Up From the Tsunami-Fiction!			https://www.truthorfiction.com/tsunamifish/			2015-03-20T20:42:37+00:00
Huge Moose shot in Russia-Truth!			https://www.truthorfiction.com/russian-moose/			2015-03-20T20:42:36+00:00
Record catfish taken from Texas lake-Truth! & Fiction!			https://www.truthorfiction.com/catfish/			2015-03-19T21:40:49+00:00
Tried to Barbecue a Kitten?			https://www.truthorfiction.com/kitten/			2015-03-17T22:38:38+00:00
Picture of a great white shark attacking a soldier hanging from a helicopter-Fiction!			https://www.truthorfiction.com/shark-copter/			2015-03-17T22:02:13+00:00
“Bear Farms” in China torturing hundreds of bears-Truth!			https://www.truthorfiction.com/bearprisons/			2015-03-17T21:56:52+00:00
Shark that attacked Florida boy was actually on a fishing line-Fiction!			https://www.truthorfiction.com/sharkattack/			2015-03-17T21:45:54+00:00
Running Herd of Bison in Yellowstone is an Indication of Volcanic Eruption-Fiction!			https://www.truthorfiction.com/bison-run/			2015-03-17T21:41:26+00:00
Reggie the Black Lab’s Adoption-Fiction!			https://www.truthorfiction.com/reggie-black-lab/			2015-03-17T21:41:00+00:00
Man on Beach Attacked by Killer Whale-Fiction!			https://www.truthorfiction.com/orca-eats-man/			2015-03-17T21:40:59+00:00
Environmental fears over Navy sonar-Truth!			https://www.truthorfiction.com/navysonar/			2015-03-17T21:40:57+00:00
The World’s Most Expensive Coffee is From Beans Cycled Through an Indonesian  Monkey’s Digestive System-Truth!			https://www.truthorfiction.com/kopiluwak/			2015-03-17T21:40:55+00:00
Deadly Snow Snakes in Ohio and Pennsylvania-Fiction!			https://www.truthorfiction.com/deadly-snow-snake/			2015-03-17T21:40:51+00:00
British Scientists Clone Dinosaur-Fiction!			https://www.truthorfiction.com/scientists-clone-dinosaur/			2015-03-17T21:38:55+00:00
Pets dying from Swiffer Wetjet-Fiction!			https://www.truthorfiction.com/swiffer/			2015-03-17T20:42:37+00:00
Donate to save Toby the rabbit-Unproven!  Probable Hoax!			https://www.truthorfiction.com/savetoby/			2015-03-17T20:42:36+00:00
Vote for the Palm Beach Zoo in Microsoft Contest!-Truth!			https://www.truthorfiction.com/palmbeachzoon/			2015-03-17T20:42:35+00:00
Huge mountain lion of Kansas and Pennsylvania-Fiction!			https://www.truthorfiction.com/mountainlion/			2015-03-17T20:42:33+00:00
The Cat That Dropped Out of Heaven-Unproven!			https://www.truthorfiction.com/kitten-from-heaven/			2015-03-17T20:42:32+00:00
Kosher slaughter of animals banned in Holland-Fiction!			https://www.truthorfiction.com/kosherslaughter/			2015-03-17T20:42:32+00:00
Little African girl saved from pursuers by lions-Disputed!			https://www.truthorfiction.com/lionsave/			2015-03-17T20:42:32+00:00
The young man who raffled a dead donkey and grew up to be the chairman of Enron-Fiction!			https://www.truthorfiction.com/horsetrader/			2015-03-17T20:42:31+00:00
The Crocodile Combing the Waters of New Orleans Looking for People to Eat – Fiction!			https://www.truthorfiction.com/hurricane-croc/			2015-03-17T20:42:31+00:00
Iams mistreat of animals in contract labs-Disputed!			https://www.truthorfiction.com/iams/			2015-03-17T20:42:31+00:00
Giant hogs killed by hunters in Georgia-Truth!			https://www.truthorfiction.com/hogzilla/			2015-03-17T20:42:31+00:00
Pictures of Alligator Swimming with Dead Deer in Its Mouth-Truth!			https://www.truthorfiction.com/gator/			2015-03-17T20:42:30+00:00
The baby hippo and the tortoise who became friends after the tsunami-Truth!			https://www.truthorfiction.com/hippo-tort/			2015-03-17T20:42:30+00:00
Dead deer found atop power pole-Truth!			https://www.truthorfiction.com/deerpole/			2015-03-17T20:42:28+00:00
